data/unlabelled-dataset/123makler.json	Praxissemester	adaptability	
data/unlabelled-dataset/AOL.json	I Look Back Fondly	adaptability	
data/unlabelled-dataset/AOL.json	Account Manager	collaboration	
data/unlabelled-dataset/AOL.json	Before Oath	collaboration	
data/unlabelled-dataset/AOL.json	Business Program Manager	detail	
data/unlabelled-dataset/AOL.json	Avoid working there if possible	customer	
data/unlabelled-dataset/AOL.json	Analyst	integrity	
data/unlabelled-dataset/AOL.json	Editorial role	collaboration	
data/unlabelled-dataset/AOL.json	Great benefits, but little growth	customer	
data/unlabelled-dataset/AOL.json	Program Director	customer	
data/unlabelled-dataset/AOL.json	summer	collaboration	
data/unlabelled-dataset/AOL.json	Director	customer	
data/unlabelled-dataset/AOL.json	A good long run	adaptability	
data/unlabelled-dataset/AOL.json	Senior Accountant	detail	
data/unlabelled-dataset/AOL.json	Joined after the glory days	collaboration	
data/unlabelled-dataset/AOL.json	Anonymous review	collaboration	
data/unlabelled-dataset/AOL.json	Great way to start a career. Terrible way to finish one.	result	
data/unlabelled-dataset/AOL.json	Great work life balance, lots of politics, no growth, growth for women NIL	result	
data/unlabelled-dataset/AOL.json	Zero Focus, High Turnover	detail	
data/unlabelled-dataset/AOL.json	Best place to work in terms of technology and culture.	result	
data/unlabelled-dataset/AOL.json	Vice President	collaboration	
data/unlabelled-dataset/AOL.json	Communications	detail	
data/unlabelled-dataset/AOL.json	Management Accountant	customer	
data/unlabelled-dataset/AOL.json	Best Job Ever!	collaboration	
data/unlabelled-dataset/AOL.json	Getting acquired is tough	adaptability	
data/unlabelled-dataset/AOL.json	Great place to work!	adaptability	
data/unlabelled-dataset/AOL.json	Working at Aol	collaboration	
data/unlabelled-dataset/AOL.json	AOL Help Desk	customer	
data/unlabelled-dataset/AOL.json	Decent	collaboration	
data/unlabelled-dataset/AOL.json	Ever changing	collaboration	
data/unlabelled-dataset/AOL.json	Great tech giant now in transition	integrity	
data/unlabelled-dataset/AOL.json	Generic Corporate Culture	customer	
data/unlabelled-dataset/AOL.json	Good Place to work	integrity	
data/unlabelled-dataset/AOL.json	Will Oath Be The Same Company?	collaboration	
data/unlabelled-dataset/AOL.json	Sr SW QA Engineer	result	
data/unlabelled-dataset/AOL.json	Project Manager	collaboration	
data/unlabelled-dataset/AOL.json	Good place to grow your career	customer	
data/unlabelled-dataset/AOL.json	Good Company - But Not For A Long-Term Career	integrity	
data/unlabelled-dataset/AOL.json	Good experience	integrity	
data/unlabelled-dataset/AOL.json	Analyst	result	
data/unlabelled-dataset/AOL.json	Great place to start but leadership and management are horrific	customer	
data/unlabelled-dataset/AOL.json	Fun Place to Work and Meet People	collaboration	
data/unlabelled-dataset/AOL.json	AOL	adaptability	
data/unlabelled-dataset/AOL.json	Senior Software Engineer	integrity	
data/unlabelled-dataset/AOL.json	Uninspired	customer	
data/unlabelled-dataset/AOL.json	Low pay but my team was great	customer	
data/unlabelled-dataset/AOL.json	Pros and Cons like most places - overall good	integrity	
data/unlabelled-dataset/AOL.json	Best Company Ever	customer	
data/unlabelled-dataset/AOL.json	Chaotic.	collaboration	
data/unlabelled-dataset/AOL.json	Casual Environment	adaptability	
data/unlabelled-dataset/AOL.json	Sales Director	adaptability	
data/unlabelled-dataset/AOL.json	Fun yet frustrating	collaboration	
data/unlabelled-dataset/AOL.json	Loved working at Aol	collaboration	
data/unlabelled-dataset/AOL.json	Great co-workers but senior management clueless; constant layoffs	result	
data/unlabelled-dataset/AOL.json	Accountant	collaboration	
data/unlabelled-dataset/AOL.json	It was a great ride	adaptability	
data/unlabelled-dataset/AOL.json	No growth, poor management	adaptability	
data/unlabelled-dataset/AOL.json	Layoffs ALL the TIME	detail	
data/unlabelled-dataset/AOL.json	Principal Salesforce Administrator	detail	
